# time a_r temp
0.000 0.140 155.000
0.035 0.215 209.466
0.071 0.285 198.196
0.106 0.347 190.741
0.142 0.403 184.411
0.177 0.452 179.055
0.213 0.493 174.647
0.248 0.528 169.290
0.284 0.552 166.077
0.319 0.567 162.966
0.355 0.587 160.296
0.390 0.613 158.786
0.426 0.630 156.504
0.461 0.644 156.050
0.496 0.657 155.447
0.532 0.664 155.634
0.567 0.670 155.198
0.603 0.676 154.996
0.638 0.682 154.978
0.674 0.689 154.988
0.709 0.697 155.003
0.745 0.702 155.006
0.780 0.704 155.002
0.816 0.701 154.999
0.851 0.698 154.998
0.887 0.700 155.000
0.922 0.705 155.000
0.957 0.712 155.000
0.993 0.718 155.000
1.028 0.723 155.000
1.064 0.726 154.999
1.099 0.728 154.999
1.135 0.729 154.999
1.170 0.731 154.998
1.206 0.734 154.998
1.241 0.739 154.998
1.277 0.743 154.998
1.312 0.747 154.998
1.348 0.749 154.998
1.383 0.750 154.998
1.418 0.751 154.998
1.454 0.752 154.998
1.489 0.754 154.998
1.525 0.757 154.998
1.560 0.759 154.998
1.596 0.761 154.998
1.631 0.762 154.998
1.667 0.763 154.999
1.702 0.764 154.999
1.738 0.766 154.999
1.773 0.768 154.999
1.809 0.770 154.999
1.844 0.771 154.999
1.879 0.772 155.000
1.915 0.772 155.000
1.950 0.773 155.000
1.986 0.776 155.000
2.021 0.780 155.000
2.057 0.786 155.000
2.092 0.790 155.000
2.128 0.792 155.000
2.163 0.794 155.000
2.199 0.795 155.000
2.234 0.797 155.000
2.270 0.800 155.001
2.305 0.802 155.001
2.340 0.805 155.001
2.376 0.807 155.001
2.411 0.809 155.001
2.447 0.812 155.001
2.482 0.816 155.001
2.518 0.820 155.001
2.553 0.824 155.000
2.589 0.826 155.000
2.624 0.827 155.000
2.660 0.827 155.000
2.695 0.827 155.000
2.730 0.829 155.000
2.766 0.831 155.000
2.801 0.834 155.000
2.837 0.836 155.000
2.872 0.837 155.000
2.908 0.838 155.000
2.943 0.840 155.000
2.979 0.842 155.000
3.014 0.844 155.000
3.050 0.847 155.000
3.085 0.851 155.000
3.121 0.854 155.000
3.156 0.857 155.000
3.191 0.859 155.000
3.227 0.860 155.000
3.262 0.861 155.000
3.298 0.861 155.000
3.333 0.862 155.000
3.369 0.864 155.000
3.404 0.866 155.000
3.440 0.868 155.000
3.475 0.869 155.000
3.511 0.871 155.000
3.546 0.872 155.000
3.582 0.873 155.000
3.617 0.874 155.000
3.652 0.875 155.000
3.688 0.875 155.000
3.723 0.876 155.000
3.759 0.875 155.000
3.794 0.875 155.000
3.830 0.876 155.000
3.865 0.877 155.000
3.901 0.879 155.000
3.936 0.880 155.000
3.972 0.881 155.000
4.007 0.881 155.000
4.043 0.879 155.000
4.078 0.878 155.000
4.113 0.879 155.000
4.149 0.882 155.000
4.184 0.884 155.000
4.220 0.886 155.000
4.255 0.886 155.000
4.291 0.885 155.000
4.326 0.885 155.000
4.362 0.886 155.000
4.397 0.888 155.000
4.433 0.890 155.000
4.468 0.892 155.000
4.504 0.892 155.000
4.539 0.892 155.000
4.574 0.892 155.000
4.610 0.891 155.000
4.645 0.890 155.000
4.681 0.890 155.000
4.716 0.891 155.000
4.752 0.893 155.000
4.787 0.895 155.000
4.823 0.896 155.000
4.858 0.896 155.000
4.894 0.896 155.000
4.929 0.895 155.000
4.965 0.894 155.000
5.000 0.894 155.000
