# time a_r temp
0.00000 0.14615 53.00000
0.01786 0.18532 53.53111
0.03571 0.27546 54.05112
0.05357 0.36043 54.56026
0.07143 0.41012 55.05877
0.08929 0.43897 55.54687
0.10714 0.46412 56.02476
0.12500 0.48084 56.49268
0.14286 0.50255 56.95081
0.16071 0.51341 57.39937
0.17857 0.52310 57.83857
0.19643 0.53195 58.26858
0.21429 0.53458 58.68961
0.23214 0.53979 59.10185
0.25000 0.54351 59.50547
0.26786 0.55638 59.90066
0.28571 0.55885 60.28760
0.30357 0.55893 60.66644
0.32143 0.56634 61.03738
0.33929 0.56704 61.40056
0.35714 0.57063 61.75616
0.37500 0.57228 62.10432
0.39286 0.57485 62.44522
0.41071 0.57444 62.77899
0.42857 0.57358 63.10578
0.44643 0.57842 63.42575
0.46429 0.57842 63.73904
0.48214 0.57958 64.04578
0.50000 0.58285 64.34611
0.51786 0.58445 64.64016
0.53571 0.58440 64.92807
0.55357 0.58603 65.20997
0.57143 0.58859 65.48598
0.58929 0.59103 65.75622
0.60714 0.59189 66.02081
0.62500 0.59506 66.27988
0.64286 0.59719 66.53353
0.66071 0.59571 66.78188
0.67857 0.59693 67.02505
0.69643 0.60037 67.26313
0.71429 0.60262 67.49624
0.73214 0.60247 67.72448
0.75000 0.60410 67.94796
0.76786 0.60872 68.16676
0.78571 0.60987 68.38099
0.80357 0.60677 68.59074
0.82143 0.60322 68.79612
0.83929 0.60072 68.99720
0.85714 0.59917 69.19408
0.87500 0.59844 69.38685
0.89286 0.59841 69.57559
0.91071 0.59894 69.76038
0.92857 0.59992 69.94132
0.94643 0.60123 70.11848
0.96429 0.60273 70.29193
0.98214 0.60430 70.46176
1.00000 0.60582 70.62804
1.01786 0.60718 70.79085
1.03571 0.60837 70.95026
1.05357 0.60940 71.10633
1.07143 0.61028 71.25915
1.08929 0.61101 71.40877
1.10714 0.61161 71.55527
1.12500 0.61207 71.69870
1.14286 0.61241 71.83914
1.16071 0.61264 71.97665
1.17857 0.61276 72.11128
1.19643 0.61279 72.24310
1.21429 0.61272 72.37216
1.23214 0.61257 72.49853
1.25000 0.61234 57.54243
1.26786 0.61205 57.34591
1.28571 0.61170 57.15790
1.30357 0.61130 56.97801
1.32143 0.61086 56.80591
1.33929 0.61038 56.64126
1.35714 0.60988 56.48373
1.37500 0.60935 56.33301
1.39286 0.60882 56.18882
1.41071 0.60828 56.05086
1.42857 0.60774 55.91887
1.44643 0.60722 55.79259
1.46429 0.60672 55.67178
1.48214 0.60625 55.55619
1.50000 0.60582 55.44560
1.51786 0.60542 55.33980
1.53571 0.60507 55.23857
1.55357 0.60477 55.14172
1.57143 0.60450 55.04907
1.58929 0.60427 54.96042
1.60714 0.60407 54.87560
1.62500 0.60391 54.79446
1.64286 0.60379 54.71683
1.66071 0.60369 54.64255
1.67857 0.60363 54.57149
1.69643 0.60359 54.50350
1.71429 0.60358 54.43846
1.73214 0.60360 54.37623
1.75000 0.60364 54.31669
1.76786 0.60370 54.25972
1.78571 0.60379 54.20522
1.80357 0.60389 54.15308
1.82143 0.60401 54.10320
1.83929 0.60414 54.05547
1.85714 0.60429 54.00981
1.87500 0.60446 53.96612
1.89286 0.60463 53.92432
1.91071 0.60481 53.88433
1.92857 0.60500 53.84607
1.94643 0.60520 53.80947
1.96429 0.60540 53.77445
1.98214 0.60561 53.74095
2.00000 0.60582 53.70889
2.01786 0.60602 53.67822
2.03571 0.60623 53.64888
2.05357 0.60643 53.62081
2.07143 0.60663 53.59395
2.08929 0.60682 53.56825
2.10714 0.60700 53.54367
2.12500 0.60718 53.52015
2.14286 0.60734 53.49765
2.16071 0.60749 53.47612
2.17857 0.60762 53.45552
2.19643 0.60774 53.43581
2.21429 0.60785 53.41696
2.23214 0.60793 53.39892
2.25000 0.60799 53.38166
2.26786 0.60803 53.36515
2.28571 0.60805 53.34935
2.30357 0.60804 53.33424
2.32143 0.60800 53.31978
2.33929 0.60794 53.30594
2.35714 0.60785 53.29271
2.37500 0.60772 53.28004
2.39286 0.60756 53.26793
2.41071 0.60737 53.25634
2.42857 0.60714 53.24525
2.44643 0.60687 53.23464
2.46429 0.60656 53.22448
2.48214 0.60621 53.21477
2.49000 0.60582 53.20548
2.50000 0.60582 53.20548
