# time deltaL
0.00000 0.00015
0.00021 0.00011
0.00042 0.00008
0.00062 0.00004
0.00083 0.00001
0.00104 -0.00002
0.00125 -0.00005
0.00146 -0.00008
0.00167 -0.00011
0.00187 -0.00013
0.00208 -0.00016
0.00229 -0.00018
0.00250 -0.00020
0.00271 -0.00021
0.00292 -0.00023
0.00312 -0.00025
0.00333 -0.00026
0.00354 -0.00027
0.00375 -0.00028
0.00396 -0.00029
0.00417 -0.00030
0.00437 -0.00031
0.00458 -0.00031
0.00479 -0.00032
0.00500 -0.00032
0.00521 -0.00032
0.00542 -0.00033
0.00562 -0.00033
0.00583 -0.00033
0.00604 -0.00032
0.00625 -0.00032
0.00646 -0.00032
0.00667 -0.00032
0.00687 -0.00031
0.00708 -0.00031
0.00729 -0.00030
0.00750 -0.00029
0.00771 -0.00029
0.00792 -0.00028
0.00813 -0.00027
0.00833 -0.00026
0.00854 -0.00025
0.00875 -0.00024
0.00896 -0.00023
0.00917 -0.00022
0.00937 -0.00021
0.00958 -0.00020
0.00979 -0.00019
0.01000 -0.00018
0.01021 -0.00017
0.01042 -0.00016
0.01062 -0.00015
0.01083 -0.00014
0.01104 -0.00013
0.01125 -0.00012
0.01146 -0.00011
0.01167 -0.00010
0.01187 -0.00009
0.01208 -0.00008
0.01229 -0.00007
0.01250 -0.00006
0.01271 -0.00006
0.01292 -0.00005
0.01312 -0.00004
0.01333 -0.00004
0.01354 -0.00003
0.01375 -0.00002
0.01396 -0.00002
0.01417 -0.00002
0.01437 -0.00001
0.01458 -0.00001
0.01479 -0.00001
0.01500 -0.00001
0.01521 -0.00001
0.01542 -0.00001
0.01562 -0.00001
0.01583 -0.00002
0.01604 -0.00002
0.01625 -0.00003
0.01646 -0.00003
0.01667 -0.00004
0.01687 -0.00005
0.01708 -0.00006
0.01729 -0.00007
0.01750 -0.00009
0.01771 -0.00010
0.01792 -0.00012
0.01812 -0.00014
0.01833 -0.00015
0.01854 -0.00018
0.01875 -0.00020
0.01896 -0.00022
0.01917 -0.00025
0.01937 -0.00028
0.01958 -0.00031
0.01979 -0.00034
0.02000 -0.00037
0.02021 -0.00041
0.02042 -0.00044
0.02062 -0.00048
0.02083 -0.00052
0.02104 -0.00057
0.02125 -0.00061
0.02146 -0.00066
0.02167 -0.00071
0.02187 -0.00076
0.02208 -0.00082
0.02229 -0.00087
0.02250 -0.00093
0.02271 -0.00100
0.02292 -0.00106
0.02312 -0.00113
0.02333 -0.00120
0.02354 -0.00127
0.02375 -0.00135
0.02396 -0.00144
0.02417 -0.00153
0.02437 -0.00162
0.02458 -0.00172
0.02479 -0.00182
0.02500 -0.00193
0.02521 -0.00206
0.02542 -0.00219
0.02562 -0.00233
0.02583 -0.00248
0.02604 -0.00265
0.02625 -0.00283
0.02646 -0.00303
0.02667 -0.00324
0.02687 -0.00348
0.02708 -0.00373
0.02729 -0.00401
0.02750 -0.00430
0.02771 -0.00462
0.02792 -0.00496
0.02812 -0.00533
0.02833 -0.00573
0.02854 -0.00615
0.02875 -0.00660
0.02896 -0.00707
0.02917 -0.00758
0.02937 -0.00812
0.02958 -0.00869
0.02979 -0.00930
0.03000 -0.00994
